id,n_epochs,logerr_slope,logerr_intercept,logerr_r2,err_first,err_last,logerr_first,logerr_last,auc_logerr,plateau_logerr,t50,base_err,base_epoch,fit_difficulty,split
mb-log-kvrh-03249,100.0,0.0019019943785739892,-0.5912852713035222,0.11741831105275091,1.6188114,0.6745278835296631,0.48169218242566986,-0.39374224980887174,-0.503111730857838,-0.44089691109991264,1.0,1.6188114,0.0,-1.8239975916645472,test
mb-log-kvrh-08621,100.0,-6.763671149869296e-05,0.35311624393944085,0.000534467533796823,3.1419382,1.3946336507797241,1.1448398738221042,0.3326317720255561,0.3422220883668011,0.3569484390358263,1.0,3.1419382,0.0,-0.361368117782048,test
mb-log-kvrh-07965,100.0,-0.00028404909420832737,0.31319291668750115,0.012062440110893413,2.7220876,1.3633222579956055,1.0013990896040454,0.30992456496902115,0.2926603243650278,0.299998500286169,1.0,2.7220876,0.0,-0.46012900816569063,test
mb-log-kvrh-09332,100.0,-0.0005160238318742576,0.455903104133499,0.03927736874103449,3.1836586,1.5281339883804321,1.1580310417562232,0.4240473821744748,0.42323597225697257,0.4235758051091477,1.0,3.1836586,0.0,-0.23377099091340325,test
mb-log-kvrh-04902,100.0,-0.0019525926276901656,1.2054106559811562,0.3879529196669509,5.6271224,2.6330010890960693,1.7275981942575331,0.9681242979451787,1.102325183702917,1.0829016217105694,50.0,5.6271224,0.0,3.41472518288772,test
mb-log-kvrh-01744,100.0,-0.0005871110655092969,0.9289100802203794,0.0714291599998843,4.4855256,2.3674206733703613,1.500855681509318,0.8618010432445959,0.8935445559196183,0.8896069181618871,100.0,4.4855256,0.0,5.558289069690057,test
mb-log-kvrh-02207,100.0,-0.0004723206347484515,0.6874143185685355,0.03422437943930523,3.9109035,1.9100745916366577,1.3637684240295025,0.647142299744289,0.656826106938978,0.6531152751248839,3.0,3.9109035,0.0,0.2819955834208949,test
mb-log-kvrh-10500,100.0,-0.001487617216634362,1.169385264070802,0.3431031911278247,5.3334527,2.7558979988098145,1.673998816446173,1.0137433455035805,1.0897388256095148,1.0665886795284203,100.0,5.3334527,0.0,5.88727858521545,test
mb-log-kvrh-02689,100.0,-0.00056887356376763,1.1562690209676576,0.05853491326159754,5.825511,3.01389741897583,1.7622467226425993,1.1032340680976236,1.1211594126417905,1.1135191591882008,100.0,5.825511,0.0,5.963732808760934,test
mb-log-kvrh-05670,100.0,2.060242592653784e-05,0.557213036142885,5.187845106702227e-05,3.82639,1.7808274030685425,1.3419218025714263,0.5770780951024579,0.5501429339994446,0.5772237696479328,1.0,3.82639,0.0,0.029117400613169583,test
mb-log-kvrh-08807,100.0,-0.0004943948580644994,0.8785247250887377,0.05071977150276796,4.2565017,2.2570016384124756,1.4484476280804115,0.8140372281906816,0.848144059952295,0.845457733568461,100.0,4.2565017,0.0,5.478074162610713,test
mb-log-kvrh-07562,100.0,-0.00022195461532054157,0.09670430868168567,0.006066084860737675,2.25418,1.1050868034362793,0.8127862748954733,0.09992389607943916,0.0795044304415008,0.08617340357856577,1.0,2.25418,0.0,-0.845106795433546,test
mb-log-kvrh-03230,100.0,0.00017931743128907197,-0.2506918502150632,0.002030265102338613,1.7436913,0.8258157968521118,0.5560043086734472,-0.19138352445381845,-0.24702123584306637,-0.2458034724909543,1.0,1.7436913,0.0,-1.4404996089657056,test
mb-log-kvrh-02224,100.0,-0.0005826817830400881,0.6748708827676052,0.04948160897903642,3.8908532,1.9188053607940674,1.3586284677703595,0.65170278967983,0.6385933265507857,0.6444797180088544,3.0,3.8908532,0.0,0.26141053036409323,test
mb-log-kvrh-07593,100.0,-0.0005028330854330717,0.46852097851532715,0.035784006658850176,3.2716434,1.5375391244888306,1.1852924305276624,0.4301831737006741,0.4361881132303071,0.4344358157926174,1.0,3.2716434,0.0,-0.21310546240452596,test
mb-log-kvrh-08527,100.0,-0.0005260999399540282,0.48808860295923084,0.04147134631319638,3.246613,1.5755295753479004,1.1776123021557214,0.45459146042536125,0.4552333546302701,0.45016584528228326,1.0,3.246613,0.0,-0.18302365523150174,test
mb-log-kvrh-03124,100.0,0.00038977484625024177,-0.21412604971965532,0.009026522107764223,1.9224871,0.8608533143997192,0.6536197175637412,-0.14983114400290343,-0.2004014702545637,-0.18395665873906158,1.0,1.9224871,0.0,-1.3370170493585947,test
mb-log-kvrh-00286,100.0,-0.00015076505972462314,0.31419703233848706,0.002700263535815539,3.027451,1.3519642353057861,1.1077210146461427,0.3015585314913325,0.29917099871414043,0.3081496318273079,1.0,3.027451,0.0,-0.44629870033451546,test
mb-log-kvrh-05201,100.0,-0.00044986435124041643,0.5090104565744402,0.028029494601481075,3.4348977,1.6267850399017334,1.2339871464827366,0.48660570512779383,0.47941421922004945,0.48039106693927724,1.0,3.4348977,0.0,-0.13171925652550898,test
mb-log-kvrh-09871,100.0,-0.0004848392496805959,0.6236805295044633,0.03568428480029007,3.6435716,1.699149250984192,1.2929644121137334,0.5301276910877459,0.5928373914597185,0.59273410966337,2.0,3.6435716,0.0,0.12129624143102666,test
mb-log-kvrh-01322,100.0,-0.00025827710685073725,0.7004996510424454,0.01076114271062334,3.9542825,1.9606287479400635,1.3747991713614574,0.6732652166661333,0.6805724565764328,0.6870440796482145,2.0,3.9542825,0.0,0.28780823132282723,test
mb-log-kvrh-07197,100.0,-0.00021295287703433158,0.9093758877803071,0.011885502108932688,4.234421,2.396397352218628,1.4432466032912548,0.8739665105003652,0.8935000868727386,0.89384881681546,100.0,4.234421,0.0,5.563689798145487,test
mb-log-kvrh-01991,100.0,-0.0003209950382472062,0.8815510034055527,0.017802241740572988,4.6079726,2.343019485473633,1.5277879793655078,0.8514404802224256,0.8586341483003902,0.8639313784005971,4.0,4.6079726,0.0,0.707186410814297,test
mb-log-kvrh-07325,100.0,-0.0016615241840604185,1.159616577493559,0.45196758597921194,5.015512,2.7012946605682373,1.6125355119153477,0.9937311657011088,1.072077246977313,1.0282269588229824,100.0,5.015512,0.0,5.828982439819268,test
mb-log-kvrh-05050,100.0,-0.000595773522788649,0.8261377548998402,0.058383324952537174,4.3153887,2.146345615386963,1.4621874039080185,0.7637666868727626,0.7895135267289176,0.7866513176057486,8.0,4.3153887,0.0,0.7721928712412873,test
mb-log-kvrh-04574,100.0,0.0003233814116062879,0.47609623673395457,0.011498683260122045,3.3896859,1.6420427560806274,1.2207372651825006,0.49594105580716297,0.48477300233424314,0.5221307310729935,1.0,3.3896859,0.0,-0.07554307893939419,test
mb-log-kvrh-09553,100.0,-0.00027295867898630155,0.26846748543882243,0.011530644567838144,2.4693646,1.2927252054214478,0.903960874632272,0.2567525601293204,0.24948336128578708,0.2541658897697574,1.0,2.4693646,0.0,-0.5413326754340322,test
mb-log-kvrh-00428,100.0,-0.0005231657308695478,1.2372159578528168,0.055591489269923855,6.113431,3.2957165241241455,1.810488155677061,1.1926236053524404,1.2048382331695549,1.200606242230088,100.0,6.113431,0.0,6.118886055438056,test
mb-log-kvrh-04020,100.0,-0.0008231052461662496,0.6455926609620162,0.1109677336275714,3.611943,1.7699705362319946,1.2842458574679179,0.5709629059003866,0.5981165409514154,0.5826850081170897,4.0,3.611943,0.0,0.21120981604099426,test
mb-log-kvrh-01577,100.0,-0.00048759915405114805,0.9885412777270703,0.038294301164163325,4.9843483,2.589539051055908,1.6063026646772938,0.9514798911688548,0.9573455099538298,0.9636468013682228,4.0,4.9843483,0.0,0.8863551783715079,test
mb-log-kvrh-05514,100.0,-0.0001951697254913573,0.7778886634186135,0.006924576717829978,4.131024,2.1220028400421143,1.4185253205497583,0.7523603832833089,0.7614265453202794,0.7661921508070746,4.0,4.131024,0.0,0.531331615734469,test
mb-log-kvrh-01268,100.0,0.00021577991572317636,0.41969554295528616,0.004631311607760535,3.3352504,1.4167935848236084,1.2045477620060865,0.34839628660077937,0.423129833797722,0.4523951278291102,1.0,3.3352504,0.0,-0.19697603892456672,test
mb-log-kvrh-01318,100.0,-0.0007339689426353179,1.1009584691523322,0.10489606238488303,5.258389,2.7440361976623535,1.659824707975695,1.0094299049888107,1.0581986274643338,1.0526976055344903,100.0,5.258389,0.0,5.853008370386876,test
mb-log-kvrh-06290,100.0,8.174664381944077e-05,0.13714626036757502,0.0007896016300174002,2.395475,1.1797233819961548,0.8735815452265127,0.16527999743583907,0.1346709883945939,0.14886670323943813,1.0,2.395475,0.0,-0.7360684854436662,test
mb-log-kvrh-10103,100.0,-0.00023532308202367614,0.4153774056752122,0.00784777186633534,3.1344926,1.5159225463867188,1.1424673140963106,0.4160242017377127,0.3965403653607486,0.4054537417727083,1.0,3.1344926,0.0,-0.2709156119388676,test
mb-log-kvrh-08831,100.0,0.0002345549327237295,0.14295249292708903,0.004889432470282062,2.6436002,1.1783230304718018,0.9721417040512886,0.164092275540551,0.1473704778883087,0.1790925231868517,1.0,2.6436002,0.0,-0.6907726467773351,test
mb-log-kvrh-10868,100.0,-0.0009387688620248035,0.6542987907449938,0.12428349501080505,3.828859,1.7992829084396362,1.3425668501927797,0.5873882068836189,0.6003819678749815,0.5870573254426976,1.0,3.828859,0.0,0.06798630158369186,test
mb-log-kvrh-03743,100.0,-0.0004712877242114247,0.6246409526595219,0.038036624233677485,3.584669,1.8164174556732178,1.2766661434294102,0.5968661357389323,0.5944282590976282,0.5940662496250106,7.0,3.584669,0.0,0.3738322699416098,test
mb-log-kvrh-08571,100.0,-0.0002860002767553822,0.2999015929160978,0.01050053527353001,2.8202584,1.315647006034851,1.036828515503588,0.2743285720268643,0.27870557351500175,0.2852186821994468,1.0,2.8202584,0.0,-0.4863314542561597,test
mb-log-kvrh-02143,100.0,-0.0003637151090557537,0.48601158810733475,0.018865888419607346,3.2204642,1.5557740926742554,1.1695255137618734,0.44197323698690755,0.4616282006186706,0.46289585052150306,1.0,3.2204642,0.0,-0.16339908718020607,test
mb-log-kvrh-01396,100.0,-0.00029248762939185403,0.9730103197229765,0.014611382087483915,4.815437,2.5244662761688232,1.5718268012562486,0.9260296685708254,0.9519891785230867,0.9553340962895819,4.0,4.815437,0.0,0.8729224511399093,test
mb-log-kvrh-00425,100.0,-0.000760734018234381,0.8180167679927931,0.08864503081368169,4.088812,2.1659390926361084,1.408254465759734,0.7728540330571109,0.7734886876498099,0.7767898513299264,16.0,4.088812,0.0,1.1511959119659,test
mb-log-kvrh-01618,100.0,0.0006124428534259654,-0.2177587286637135,0.019799439105262273,2.040389,0.8378161191940308,0.7131404808533441,-0.1769566188115582,-0.1941107786144813,-0.18033233503774498,1.0,2.040389,0.0,-1.3290901892475993,test
mb-log-kvrh-10704,100.0,-0.0009567699053611397,0.14942946271632818,0.09567001280442355,2.2802258,1.0970872640609741,0.8242744775359488,0.0926587351577474,0.096297164064415,0.0828496511468696,1.0,2.2802258,0.0,-0.8405675118560914,test
